sub_n,video_name,frame_n,nose,r_shoulder,r_elbow,r_wrist,l_shoulder,l_elbow,l_wrist,quality
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,1,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,2,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,3,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,4,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,5,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,6,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,7,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,8,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,9,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,10,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,11,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,12,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,13,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,14,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,15,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,16,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,17,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,18,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,19,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,20,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,21,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,22,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,23,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,24,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,25,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,26,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,27,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,28,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,29,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,30,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,31,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,32,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,33,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,34,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,35,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,36,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,37,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,38,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,39,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,40,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,41,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,42,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,43,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,44,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,45,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,46,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
MG107,0f4db67a-4533-45ff-b2e3-86cef598973d_0000.mp4,47,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0
